unix,ds,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount,Value
1.59192E+12,2020-06-12,LINK/USDT,3.962,4.191,3.858,4.087,8040478.12,32700583.33,144438,4.0245
1.59201E+12,2020-06-13,LINK/USDT,4.087,4.132,4.007,4.112,3047404.22,12396773.26,59278,4.0695
1.59209E+12,2020-06-14,LINK/USDT,4.112,4.116,3.918,3.942,3813824.62,15246954.07,69769,4.017
1.59218E+12,2020-06-15,LINK/USDT,3.944,3.989,3.657,3.929,14035947.23,53595114.2,182125,3.823
1.59227E+12,2020-06-16,LINK/USDT,3.93,4.09,3.893,4.048,12237956.25,49156290.89,152457,3.9915
1.59235E+12,2020-06-17,LINK/USDT,4.048,4.189,3.961,4.163,11307298.16,46003275.17,142599,4.075
1.59244E+12,2020-06-18,LINK/USDT,4.163,4.245,4.092,4.136,9663118.86,40287087.03,144819,4.1685
1.59252E+12,2020-06-19,LINK/USDT,4.139,4.187,4.052,4.096,8115452.43,33393036.59,124043,4.1195
1.59261E+12,2020-06-20,LINK/USDT,4.096,4.207,4.064,4.179,8618121.63,35765848.07,79107,4.1355
1.5927E+12,2020-06-21,LINK/USDT,4.178,4.207,4.14,4.184,4543384.51,18987067.44,48678,4.1735
1.59278E+12,2020-06-22,LINK/USDT,4.183,4.486,4.178,4.48,11954634.78,52072024.95,148171,4.332
1.59287E+12,2020-06-23,LINK/USDT,4.48,4.94,4.426,4.805,28619709.7,135173820.6,333499,4.683
1.59296E+12,2020-06-24,LINK/USDT,4.805,4.941,4.5,4.71,25690670.79,121594680.5,293314,4.7205
1.59304E+12,2020-06-25,LINK/USDT,4.71,4.838,4.5,4.804,20793900.68,98253457.03,310863,4.669
1.59313E+12,2020-06-26,LINK/USDT,4.806,4.859,4.643,4.68,14732769.59,69609800.82,252929,4.751
1.59322E+12,2020-06-27,LINK/USDT,4.681,4.693,4.3,4.408,13770640.43,62223870.94,195676,4.4965
