unix,ds,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount,Value
1.61093E+12,2021-01-18,NEO/USDT,23.831,28.349,23.043,27.055,3720730.136,98149317.42,179670,25.696
1.61101E+12,2021-01-19,NEO/USDT,27.083,28.868,26.222,26.273,2500772.971,68097654.32,154177,27.545
1.6111E+12,2021-01-20,NEO/USDT,26.268,26.82,23.811,26.072,2245161.957,56704610.86,123501,25.3155
1.61119E+12,2021-01-21,NEO/USDT,26.08,26.24,21.964,22.096,1958407.457,46451881.06,108654,24.102
1.61127E+12,2021-01-22,NEO/USDT,22.103,24.518,20.77,23.469,1718725.203,39496463.1,81827,22.644
1.61136E+12,2021-01-23,NEO/USDT,23.435,25.43,23.025,24.425,1594383.349,38897839.22,73042,24.2275
1.61145E+12,2021-01-24,NEO/USDT,24.409,25.614,23.597,24.401,1183062.313,29219940.17,58453,24.6055
1.61153E+12,2021-01-25,NEO/USDT,24.408,25.249,23.093,23.313,986933.822,24088923.62,48636,24.171
1.61162E+12,2021-01-26,NEO/USDT,23.309,24,22.317,23.158,894487.543,20683023.03,37587,23.1585
1.61171E+12,2021-01-27,NEO/USDT,23.14,23.191,20.333,21.033,1084209.793,23252520.04,52513,21.762
1.61179E+12,2021-01-28,NEO/USDT,21.022,22.936,20.652,22.245,948203.362,21084970.27,44882,21.794
1.61188E+12,2021-01-29,NEO/USDT,22.241,23.888,21.832,22.549,1604427.232,36688554.9,74449,22.86
1.61196E+12,2021-01-30,NEO/USDT,22.566,22.9,21.81,22.864,877622.073,19660104.37,40489,22.355
1.61205E+12,2021-01-31,NEO/USDT,22.864,24.819,21.554,22.276,1404507.664,31650732.38,59633,23.1865
1.61214E+12,2021-02-01,NEO/USDT,22.277,23.988,21.788,23.119,1692486.648,38455647.48,79673,22.888
1.61222E+12,2021-02-02,NEO/USDT,23.092,23.856,22.473,23.74,979287.407,22744721.71,45222,23.1645
1.61231E+12,2021-02-03,NEO/USDT,23.742,24.972,23.469,24.662,1320450.699,32077156.75,64466,24.2205
1.6124E+12,2021-02-04,NEO/USDT,24.669,25.051,22.922,23.75,1314825.181,31344236.81,68426,23.9865
1.61248E+12,2021-02-05,NEO/USDT,23.731,26.46,23.589,26.07,1861334.649,46605115.97,96088,25.0245
1.61257E+12,2021-02-06,NEO/USDT,26.079,26.3,24.36,24.834,1418905.258,35554982.94,76641,25.33
1.61266E+12,2021-02-07,NEO/USDT,24.838,25.629,23.371,24.526,1455011.626,35691899.21,67880,24.5
1.61274E+12,2021-02-08,NEO/USDT,24.512,27.777,23.965,27.38,2156817.585,55778287.96,112079,25.871
1.61283E+12,2021-02-09,NEO/USDT,27.385,32.088,26.432,31.065,4176764.195,124369982.3,223009,29.26
1.61292E+12,2021-02-10,NEO/USDT,31.079,36.5,29.61,33.39,5022362.534,165401202.7,256152,33.055
1.613E+12,2021-02-11,NEO/USDT,33.434,38.8,32.71,36.297,3315072.801,121118778,179652,35.755
1.61309E+12,2021-02-12,NEO/USDT,36.274,38.4,35.012,37.572,2105044.825,77543891.32,113945,36.706
1.61317E+12,2021-02-13,NEO/USDT,37.571,43.6,35.5,42.415,3470052.643,137028463.2,207090,39.55
1.61326E+12,2021-02-14,NEO/USDT,42.458,47.444,40.4,43.942,3460516.775,152657967.7,216181,43.922
1.61335E+12,2021-02-15,NEO/USDT,43.935,45.474,36.3,41.575,3477834.173,145148398.8,202972,40.887
1.61343E+12,2021-02-16,NEO/USDT,41.602,44.86,39.409,40.945,1873093.207,78604886.26,105706,42.1345
1.61352E+12,2021-02-17,NEO/USDT,40.946,43.951,38.642,42.551,1525803.75,63481437.3,98767,41.2965
1.61361E+12,2021-02-18,NEO/USDT,42.547,44.977,41.01,43.783,1536870.817,66944136.95,101587,42.9935
1.61369E+12,2021-02-19,NEO/USDT,43.808,49.78,41.654,47.847,2520631.549,117337582.3,160787,45.717
1.61378E+12,2021-02-20,NEO/USDT,47.824,49.892,40.877,43.866,2216943.887,104609626.6,160417,45.3845
1.61387E+12,2021-02-21,NEO/USDT,43.866,54.984,42.7,54.9,4091562.13,208971066.5,266700,48.842
1.61395E+12,2021-02-22,NEO/USDT,54.857,55.444,40.425,46.879,3908613.863,188389469.3,258632,47.9345
1.61404E+12,2021-02-23,NEO/USDT,46.907,47.548,31.301,38.65,4544604.376,176681998.5,263363,39.4245
1.61412E+12,2021-02-24,NEO/USDT,38.708,44.289,36.841,40.619,2410810.095,99306897.03,135520,40.565
1.61421E+12,2021-02-25,NEO/USDT,40.66,43,38.022,38.541,1463229.35,59938571.1,82714,40.511
1.6143E+12,2021-02-26,NEO/USDT,38.469,39.902,35.168,37.68,1891468.344,71458162.86,100127,37.535
1.61438E+12,2021-02-27,NEO/USDT,37.66,39.569,36.349,37.28,1063358.92,40647976.51,64667,37.959
1.61447E+12,2021-02-28,NEO/USDT,37.258,37.5,31.858,35.261,1742859.09,59583776.32,96993,34.679
1.61456E+12,2021-03-01,NEO/USDT,35.229,38.746,35.009,38.12,1272291.546,47389597.63,83905,36.8775
1.61464E+12,2021-03-02,NEO/USDT,38.12,39.452,36.084,37.733,1189195.271,45098781.69,75174,37.768
1.61473E+12,2021-03-03,NEO/USDT,37.716,41.396,37.335,39.6,1478286.739,59261942.58,109036,39.3655
1.61482E+12,2021-03-04,NEO/USDT,39.6,41.1,36.733,37.827,1147760.274,44457163.54,79712,38.9165
1.6149E+12,2021-03-05,NEO/USDT,37.833,38.12,35.701,37.408,898071.558,33357059.64,58752,36.9105
1.61499E+12,2021-03-06,NEO/USDT,37.404,38.588,36.564,38.079,585585.341,22113502.63,43164,37.576
1.61508E+12,2021-03-07,NEO/USDT,38.1,39.39,38.026,39.279,616873.289,23923024.76,52214,38.708
1.61516E+12,2021-03-08,NEO/USDT,39.279,40.157,37.825,40.113,892016.515,34709599.93,76169,38.991
1.61525E+12,2021-03-09,NEO/USDT,40.117,43.079,39.64,42.587,1274584.31,53136895.22,116849,41.3595
1.61533E+12,2021-03-10,NEO/USDT,42.586,43.079,39.824,40.867,1195824.044,49526594.05,97591,41.4515
1.61542E+12,2021-03-11,NEO/USDT,40.868,42.662,39.015,41.937,1087173.786,44329637.08,94375,40.8385
1.61551E+12,2021-03-12,NEO/USDT,41.967,42.064,38.43,39.895,1004438.472,40346498.05,84792,40.247
1.61559E+12,2021-03-13,NEO/USDT,39.888,42.5,38.36,42.044,1043969.716,42846678.17,91351,40.43
1.61568E+12,2021-03-14,NEO/USDT,42.08,42.939,39.55,39.616,815769.698,33317672.19,71465,41.2445
1.61577E+12,2021-03-15,NEO/USDT,39.561,40.96,37.233,38.597,1158234.062,45302211.67,113758,39.0965
1.61585E+12,2021-03-16,NEO/USDT,38.596,40.945,37.43,40.793,949922.23,37509923.2,100155,39.1875
1.61594E+12,2021-03-17,NEO/USDT,40.813,46.563,40.12,46.428,2522575.526,109868136.6,228897,43.3415
1.61603E+12,2021-03-18,NEO/USDT,46.428,48.001,43.09,43.643,1440993.504,65513742.9,133522,45.5455
1.61611E+12,2021-03-19,NEO/USDT,43.645,45.63,42.413,44.023,735221.005,32730914.93,68742,44.0215
1.6162E+12,2021-03-20,NEO/USDT,44.012,45.465,42.85,43.08,841664.296,37433324.15,69301,44.1575
1.61628E+12,2021-03-21,NEO/USDT,43.072,43.55,41.072,42.421,798237.918,33799523.11,68950,42.311
1.61637E+12,2021-03-22,NEO/USDT,42.452,44.222,40.143,40.695,1018378.368,43229889.54,101672,42.1825
1.61646E+12,2021-03-23,NEO/USDT,40.7,42.35,40.062,41.081,899444.107,37112476.49,90821,41.206
1.61654E+12,2021-03-24,NEO/USDT,41.053,45.394,37.763,39.529,2026420.526,86463490.55,197260,41.5785
1.61663E+12,2021-03-25,NEO/USDT,39.538,40.948,37.421,38.632,1584310.555,62069279.75,151935,39.1845
1.61672E+12,2021-03-26,NEO/USDT,38.633,41.983,38.621,41.652,921573.763,37558277.57,94980,40.302
1.6168E+12,2021-03-27,NEO/USDT,41.684,42.7,40.335,41.106,766260.922,31841454.38,71174,41.5175
1.61689E+12,2021-03-28,NEO/USDT,41.113,45,40.801,44.763,1890169.296,82212680.52,178343,42.9005
1.61698E+12,2021-03-29,NEO/USDT,44.753,46.523,43.372,45.499,1316310.553,59618878.11,131627,44.9475
1.61706E+12,2021-03-30,NEO/USDT,45.496,46.098,44.202,44.947,824951.515,37167700.15,70523,45.15
1.61715E+12,2021-03-31,NEO/USDT,44.97,52.22,42.466,50.778,2591126.529,122769517.6,230604,47.343
1.61724E+12,2021-04-01,NEO/USDT,50.778,53.853,50.25,52.326,2146651.456,112108676.5,198335,52.0515
1.61732E+12,2021-04-02,NEO/USDT,52.364,55.272,50.937,52.958,1249746.53,66589802.11,117711,53.1045
1.61741E+12,2021-04-03,NEO/USDT,52.961,56.96,50.422,50.709,1693789.38,90890761.22,172120,53.691
1.61749E+12,2021-04-04,NEO/USDT,50.733,54.616,49.61,54.567,967603.063,51084667.38,104977,52.113
1.61758E+12,2021-04-05,NEO/USDT,54.566,59.69,51.618,59.068,1771998.197,98726839.51,205946,55.654
1.61767E+12,2021-04-06,NEO/USDT,59.092,64.75,57.52,63.036,2811251.814,173038635.8,282762,61.135
1.61775E+12,2021-04-07,NEO/USDT,63.036,68.5,56.354,59.778,3129801.646,196684227.6,319063,62.427
1.61784E+12,2021-04-08,NEO/USDT,59.784,63.369,58.049,63.351,1164107.371,70997414.15,124933,60.709
1.61793E+12,2021-04-09,NEO/USDT,63.319,63.422,60.1,60.801,835889.102,51547928.57,82744,61.761
1.61801E+12,2021-04-10,NEO/USDT,60.799,63.389,59.391,61.685,999466.921,61688987.46,104716,61.39
1.6181E+12,2021-04-11,NEO/USDT,61.691,66.8,60.9,63.922,1483054.84,94671555.59,166205,63.85
1.61819E+12,2021-04-12,NEO/USDT,63.887,64.992,60.714,64.65,1154656.337,72884810.72,120355,62.853
1.61827E+12,2021-04-13,NEO/USDT,64.601,68.4,62.153,66.587,1428317.477,93549663.82,145143,65.2765
1.61836E+12,2021-04-14,NEO/USDT,66.643,70.943,63.505,69.12,1882780.333,127600387.6,234672,67.224
1.61844E+12,2021-04-15,NEO/USDT,69.158,75,66.462,74.829,1332624.753,93692131.96,243740,70.731
1.61853E+12,2021-04-16,NEO/USDT,74.813,88.189,74.099,86.833,3930844.84,319685766.7,501672,81.144
1.61862E+12,2021-04-17,NEO/USDT,86.921,105.77,85.933,93.96,4331271.236,413678320.3,531677,95.8515
1.6187E+12,2021-04-18,NEO/USDT,93.956,120.989,73,119.841,6366966.962,606636140.6,808622,96.9945
1.61879E+12,2021-04-19,NEO/USDT,119.84,133.837,102.692,109.129,7982318.411,940314861.6,1089115,118.2645
1.61888E+12,2021-04-20,NEO/USDT,109.007,118,97.652,108.138,4124037.805,440804566.1,541118,107.826
1.61896E+12,2021-04-21,NEO/USDT,108.138,109.241,93.998,96.846,2180548.751,223568806,305416,101.6195
1.61905E+12,2021-04-22,NEO/USDT,96.823,105.181,85,89.828,3119238.216,299680472.1,387436,95.0905
1.61914E+12,2021-04-23,NEO/USDT,89.765,91.639,73.336,86.096,3580640.097,291356035.7,380095,82.4875
1.61922E+12,2021-04-24,NEO/USDT,86.102,90.5,78.734,79.544,2115519.947,176914339.4,226255,84.617
1.61931E+12,2021-04-25,NEO/USDT,79.501,88.2,74.111,79.596,1754821.194,142588097.8,193842,81.1555
1.6194E+12,2021-04-26,NEO/USDT,79.595,91.5,78.8,90.206,1865354.397,161920269.6,236525,85.15
1.61948E+12,2021-04-27,NEO/USDT,90.158,95.714,88.669,94.117,1384690.05,128712308,204046,92.1915
1.61957E+12,2021-04-28,NEO/USDT,94.117,97.95,86.444,91.795,1354291.125,123640277.5,183679,92.197
1.61965E+12,2021-04-29,NEO/USDT,91.839,93.348,86.126,89.448,870863.165,78620547.07,117220,89.737
1.61974E+12,2021-04-30,NEO/USDT,89.448,99.73,87.921,96.965,1349684.32,127401118.2,205829,93.8255
1.61983E+12,2021-05-01,NEO/USDT,96.969,104.017,93.6,102.2,1178695.163,115817786,198353,98.8085
1.61991E+12,2021-05-02,NEO/USDT,102.203,110,98.652,106.817,1879354.959,196640857.5,321044,104.326
1.62E+12,2021-05-03,NEO/USDT,106.817,114.094,105.339,107.046,1378038.338,151534405.1,257728,109.7165
1.62009E+12,2021-05-04,NEO/USDT,107.078,107.441,93.61,96.468,2062765.478,205464271.5,306677,100.5255
1.62017E+12,2021-05-05,NEO/USDT,96.468,116.868,95.222,114.883,2297326.648,245722244,374459,106.045
1.62026E+12,2021-05-06,NEO/USDT,114.883,128,109.511,122.794,3970508.937,473739567,610627,118.7555
1.62035E+12,2021-05-07,NEO/USDT,122.825,141,110.3,117.784,4003658.177,507100927.9,612981,125.65
1.62043E+12,2021-05-08,NEO/USDT,117.716,121.433,111.524,116.473,1386749.831,161862542.5,212958,116.4785
1.62052E+12,2021-05-09,NEO/USDT,116.366,122.56,110.259,119.599,1459595.443,169963380.7,255634,116.4095
