unix,ds,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount,Value
1.60099E+12,2020-09-25,BNB/USDT,24.5749,25.0799,23.7111,24.6924,2826869.589,69263025.79,192283,24.3955
1.60108E+12,2020-09-26,BNB/USDT,24.6925,26.4628,24.475,26.1998,3124585.621,79408145.08,190682,25.4689
1.60116E+12,2020-09-27,BNB/USDT,26.1885,26.9,25.5012,26.251,2555050.062,67081907.12,202771,26.2006
1.60125E+12,2020-09-28,BNB/USDT,26.2435,27.72,25.8313,26.9855,3220774.85,86081947.22,231333,26.77565
1.60134E+12,2020-09-29,BNB/USDT,26.9969,29,26.86,28.8946,3642915.268,102019998.9,252789,27.93
1.60142E+12,2020-09-30,BNB/USDT,28.8814,29.5646,27.8813,29.2656,3106927.077,89130556.74,196831,28.72295
1.60151E+12,2020-10-01,BNB/USDT,29.2696,29.3927,26.2111,27.4673,4045336.882,112775178.8,243313,27.8019
1.6016E+12,2020-10-02,BNB/USDT,27.4583,28.3633,25.6652,27.3369,4141965.566,111875266.1,259960,27.01425
1.60168E+12,2020-10-03,BNB/USDT,27.3338,28.3997,27.0701,28.1867,2946071.992,81824336.49,162910,27.7349
1.60177E+12,2020-10-04,BNB/USDT,28.1872,29.15,27.9658,28.9668,3102597.66,89029435.36,158215,28.5579
1.60186E+12,2020-10-05,BNB/USDT,28.9832,29.2665,28.0687,28.6158,2268257.171,65226739,153121,28.6676
1.60194E+12,2020-10-06,BNB/USDT,28.633,28.99,27.25,27.6812,2811072.145,79233644.35,224718,28.12
1.60203E+12,2020-10-07,BNB/USDT,27.6907,27.8965,26.8401,27.6898,2059951.007,56522074.42,168923,27.3683
1.60212E+12,2020-10-08,BNB/USDT,27.6931,27.8153,26.4999,27.7424,2476236.461,67563734.79,176594,27.1576
1.6022E+12,2020-10-09,BNB/USDT,27.7342,28.5368,27.4548,28.4076,2590468.083,72830100.2,181950,27.9958
1.60229E+12,2020-10-10,BNB/USDT,28.398,29.2814,28.0666,28.4414,2405371.457,68983739.74,168004,28.674
1.60237E+12,2020-10-11,BNB/USDT,28.41,28.72,27.876,28.5271,2329452.666,66060639.21,150757,28.298
1.60246E+12,2020-10-12,BNB/USDT,28.52,31.1299,28.4338,30.6503,4364790.221,131244685.7,313690,29.78185
1.60255E+12,2020-10-13,BNB/USDT,30.6503,31.7999,30.187,30.7256,3337167.877,103376455.3,272993,30.99345
1.60263E+12,2020-10-14,BNB/USDT,30.7256,31.33,30.3733,30.838,2472670.449,76148974.45,171589,30.85165
1.60272E+12,2020-10-15,BNB/USDT,30.838,31.6663,30.399,31.3256,2684900.014,83441987.79,170840,31.03265
1.60281E+12,2020-10-16,BNB/USDT,31.3256,31.9798,29.5705,30.0516,2971307.367,90779001.73,218994,30.77515
1.60289E+12,2020-10-17,BNB/USDT,30.051,30.564,29.6521,30.2414,1854975.623,56046581.61,101191,30.10805
1.60298E+12,2020-10-18,BNB/USDT,30.2423,31.0354,30.165,30.6593,2267377.317,69506327.31,120261,30.6002
1.60307E+12,2020-10-19,BNB/USDT,30.6568,30.6766,29.7002,29.9107,1752644.999,52880539.76,146817,30.1884
1.60315E+12,2020-10-20,BNB/USDT,29.9043,30.0892,28.5,28.8227,2583242.44,75672316.51,186067,29.2946
1.60324E+12,2020-10-21,BNB/USDT,28.8131,30.4074,28.6406,29.7329,2663615.889,78865122.07,202279,29.524
1.60332E+12,2020-10-22,BNB/USDT,29.7355,31.3,29.6655,30.6396,2830836.337,86720646.82,204132,30.48275
1.60341E+12,2020-10-23,BNB/USDT,30.6334,31.2,30.0652,30.6377,2025854.801,62169451.04,130516,30.6326
1.6035E+12,2020-10-24,BNB/USDT,30.6461,30.8781,30.4243,30.6639,1625502.524,49794483.45,86612,30.6512
1.60358E+12,2020-10-25,BNB/USDT,30.6522,30.9726,29.8805,30.128,1486538.469,45200159.75,111546,30.42655
1.60367E+12,2020-10-26,BNB/USDT,30.1342,31.43,29.96,31.0467,2648020.165,81440471.66,175463,30.695
1.60376E+12,2020-10-27,BNB/USDT,31.0436,32.3788,30.9,31.4826,2889326.968,91337221.75,213681,31.6394
1.60384E+12,2020-10-28,BNB/USDT,31.473,31.9375,29.8,30.3338,2208604.609,68301209.61,164283,30.86875
1.60393E+12,2020-10-29,BNB/USDT,30.3295,30.4272,29.47,29.8702,1977911.04,59517443.81,136168,29.9486
1.60402E+12,2020-10-30,BNB/USDT,29.8696,30.2596,27.5111,28.4909,3211305.358,91773152.81,231147,28.88535
1.6041E+12,2020-10-31,BNB/USDT,28.4969,28.888,28.1132,28.5058,1986140.314,56676023.16,118556,28.5006
1.60419E+12,2020-11-01,BNB/USDT,28.5058,28.679,28,28.5318,1916131.681,54186354.19,91856,28.3395
1.60428E+12,2020-11-02,BNB/USDT,28.5485,29.3079,27.7782,27.7983,2123599.052,60737427.18,134858,28.54305
