unix,ds,symbol,open,high,low,close,Volume ZEC,Volume USDT,tradecount,Value
1.55676E+12,2019-05-02,ZEC/USDT,61.13,61.3,59.55,60.03,5073.04145,305794.3011,1555,60.425
1.55684E+12,2019-05-03,ZEC/USDT,60.03,63.97,59.87,62.85,7085.86616,439970.7738,2279,61.92
1.55693E+12,2019-05-04,ZEC/USDT,62.95,64.27,58.62,60.94,5132.99776,313707.1812,1753,61.445
1.55701E+12,2019-05-05,ZEC/USDT,60.9,60.98,58.85,59.59,3381.71042,202784.4814,1000,59.915
1.5571E+12,2019-05-06,ZEC/USDT,59.73,61.3,58.61,60.07,8874.41975,534702.287,2276,59.955
1.55719E+12,2019-05-07,ZEC/USDT,60.36,61.68,57.31,57.64,8917.77956,535923.0047,2311,59.495
1.55727E+12,2019-05-08,ZEC/USDT,57.82,58.43,56.72,58.25,3416.85328,197374.2176,1130,57.575
1.55736E+12,2019-05-09,ZEC/USDT,58.33,59.09,55.5,56.58,7693.60889,437512.2923,1761,57.295
1.55745E+12,2019-05-10,ZEC/USDT,56.62,58.03,55.98,57.46,6732.30301,386430.6233,1977,57.005
1.55753E+12,2019-05-11,ZEC/USDT,57.51,65.7,57.23,63.08,13979.3599,852193.7688,3700,61.465
1.55762E+12,2019-05-12,ZEC/USDT,63.19,65,58.39,60.67,11371.24473,706533.9492,3173,61.695
1.55771E+12,2019-05-13,ZEC/USDT,60.67,65.9,59.82,63.58,11496.17316,726939.9389,3377,62.86
1.55779E+12,2019-05-14,ZEC/USDT,63.48,69,62.88,67.51,18708.29392,1245294.309,5158,65.94
1.55788E+12,2019-05-15,ZEC/USDT,67.51,77.38,67.51,77,12140.04615,892877.4642,4347,72.445
1.55796E+12,2019-05-16,ZEC/USDT,77.14,82.18,70.89,75.26,30460.10947,2332460.914,9027,76.535
1.55805E+12,2019-05-17,ZEC/USDT,74.83,75.91,66.04,73.34,21276.9366,1503436.345,6954,70.975
1.55814E+12,2019-05-18,ZEC/USDT,73.45,74.24,70.08,71.91,6902.57432,500429.249,3069,72.16
1.55822E+12,2019-05-19,ZEC/USDT,71.89,78.93,71.87,77.6,12258.0987,929914.7224,3938,75.4
1.55831E+12,2019-05-20,ZEC/USDT,77.57,77.89,72.07,75.95,14181.82209,1070955.983,4614,74.98
1.5584E+12,2019-05-21,ZEC/USDT,75.84,76.57,73.44,74.51,16332.14803,1219642.673,3837,75.005
1.55848E+12,2019-05-22,ZEC/USDT,74.41,75.46,68.95,69.73,10244.61884,746742.8268,3622,72.205
1.55857E+12,2019-05-23,ZEC/USDT,69.77,72.32,67.5,71.91,9911.59178,695107.6717,2412,69.91
1.55866E+12,2019-05-24,ZEC/USDT,71.93,74.52,71.38,72.38,4985.89852,364543.5142,2032,72.95
1.55874E+12,2019-05-25,ZEC/USDT,72.31,73.75,71.43,72.3,3955.03882,286427.6689,1232,72.59
1.55883E+12,2019-05-26,ZEC/USDT,72.09,76.24,70.21,75.32,9162.2528,669697.6696,3220,73.225
1.55892E+12,2019-05-27,ZEC/USDT,75.1,78.04,74.25,76.22,11406.89226,864496.9914,4127,76.145
1.559E+12,2019-05-28,ZEC/USDT,76.34,89,76.11,85.12,37276.84361,3136489.97,10055,82.555
1.55909E+12,2019-05-29,ZEC/USDT,85.07,88.24,79,85.08,20863.05051,1751482.562,6778,83.62
1.55917E+12,2019-05-30,ZEC/USDT,84.89,98.36,80.09,82.99,71249.86717,6407703.606,17466,89.225
1.55926E+12,2019-05-31,ZEC/USDT,82.94,90.86,82.49,90.2,27580.39007,2387367.029,7573,86.675
1.55935E+12,2019-06-01,ZEC/USDT,90.19,92.51,83.58,86.17,17879.98042,1569082.816,6157,88.045
1.55943E+12,2019-06-02,ZEC/USDT,86.46,89.73,85.3,88.86,16001.00953,1404850.548,4809,87.515
1.55952E+12,2019-06-03,ZEC/USDT,88.87,88.87,81.17,83.63,26116.18473,2249049.478,6664,85.02
1.55961E+12,2019-06-04,ZEC/USDT,83.38,89.27,75.59,77.69,28460.41089,2321949.947,7732,82.43
1.55969E+12,2019-06-05,ZEC/USDT,77.83,80.56,76.59,80.41,13299.61318,1041932.77,3651,78.575
1.55978E+12,2019-06-06,ZEC/USDT,80.5,81.12,76.2,79.65,10912.96883,863151.7101,2616,78.66
1.55987E+12,2019-06-07,ZEC/USDT,79.65,84.6,79.19,83.13,11754.60977,965866.0038,3716,81.895
1.55995E+12,2019-06-08,ZEC/USDT,83.26,84.22,80,80.44,22070.24733,1787930.634,4746,82.11
1.56004E+12,2019-06-09,ZEC/USDT,80.24,80.8,75.39,77.35,16558.3549,1297838.492,4426,78.095
1.56012E+12,2019-06-10,ZEC/USDT,77.2,81.2,76.14,80.12,10283.07538,815050.2122,3235,78.67
1.56021E+12,2019-06-11,ZEC/USDT,79.97,80.18,77,79.5,6915.52731,545334.5236,2299,78.59
1.5603E+12,2019-06-12,ZEC/USDT,79.56,92.02,78.82,91.1,33700.71467,2908092.965,10145,85.42
1.56038E+12,2019-06-13,ZEC/USDT,91.24,91.71,86.29,87.84,24301.77903,2157002.022,6065,89
1.56047E+12,2019-06-14,ZEC/USDT,87.87,95.98,86.96,90.68,38452.10581,3480842.017,10023,91.47
1.56056E+12,2019-06-15,ZEC/USDT,90.77,93.63,90.05,92.08,17835.5805,1635997.187,5416,91.84
1.56064E+12,2019-06-16,ZEC/USDT,92.08,94.74,90.95,93.51,16347.67369,1516991.187,5822,92.845
1.56073E+12,2019-06-17,ZEC/USDT,93.35,105.23,93.35,102.09,42563.8688,4210044.218,13176,99.29
1.56082E+12,2019-06-18,ZEC/USDT,101.99,113.84,99.44,111.95,88862.67271,9540462.139,22424,106.64
1.5609E+12,2019-06-19,ZEC/USDT,111.96,115.41,106.85,110.66,51184.36177,5712706.538,13876,111.13
1.56099E+12,2019-06-20,ZEC/USDT,110.81,111.1,105.67,109.39,22544.85979,2438359.823,6542,108.385
1.56108E+12,2019-06-21,ZEC/USDT,109.58,114.37,107.7,109.75,31068.3757,3446716.271,9430,111.035
1.56116E+12,2019-06-22,ZEC/USDT,109.75,117.56,108.46,113.51,39615.65945,4481864.569,12572,113.01
1.56125E+12,2019-06-23,ZEC/USDT,113.35,115.09,109.3,110.25,25442.14518,2875295.495,7541,112.195
1.56133E+12,2019-06-24,ZEC/USDT,110.34,110.77,104.6,109.19,19588.79011,2120010.919,7048,107.685
1.56142E+12,2019-06-25,ZEC/USDT,109.08,110,103.29,105.57,24424.1713,2605678.069,14514,106.645
1.56151E+12,2019-06-26,ZEC/USDT,105.76,125.79,105.4,114.12,66012.03275,7511713.587,22673,115.595
1.56159E+12,2019-06-27,ZEC/USDT,113.82,114.49,97.61,106.96,40675.29052,4291921.438,17159,106.05
1.56168E+12,2019-06-28,ZEC/USDT,106.78,116.39,105.84,111.97,36625.84674,4132612.823,12388,111.115
1.56177E+12,2019-06-29,ZEC/USDT,112.13,114.6,105.86,113.89,17768.53222,1972689.446,7306,110.23
1.56185E+12,2019-06-30,ZEC/USDT,114.11,114.52,103.11,103.3,17084.58782,1859941.363,7236,108.815
1.56194E+12,2019-07-01,ZEC/USDT,103.44,107.25,96.9,103.72,20016.86322,2052710.051,7476,102.075
