unix,ds,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount,Value
1.59028E+12,2020-05-24,ETC/USDT,6.5574,6.789,6.4903,6.5819,2411930.46,16076166.89,36796,6.63965
1.59036E+12,2020-05-25,ETC/USDT,6.5752,6.9147,6.503,6.8067,2009118.31,13594081.27,34563,6.70885
1.59045E+12,2020-05-26,ETC/USDT,6.8054,6.8337,6.5365,6.708,1614681.94,10813868.77,26237,6.6851
1.59054E+12,2020-05-27,ETC/USDT,6.7096,6.8358,6.6686,6.7757,1471372.26,9917742.453,23698,6.7522
1.59062E+12,2020-05-28,ETC/USDT,6.7756,6.883,6.6768,6.8609,1426801.78,9657858.852,24607,6.7799
1.59071E+12,2020-05-29,ETC/USDT,6.8616,7.3094,6.8592,7.2254,2920138.89,20802075.38,47853,7.0843
1.5908E+12,2020-05-30,ETC/USDT,7.2278,7.5803,7.1,7.4928,2126573.16,15603811.58,44680,7.34015
1.59088E+12,2020-05-31,ETC/USDT,7.4937,7.4957,6.6016,6.9388,2547679.94,18228795.64,59022,7.04865
1.59097E+12,2020-06-01,ETC/USDT,6.9388,7.2546,6.856,7.2045,2338204.77,16463493.3,54795,7.0553
1.59106E+12,2020-06-02,ETC/USDT,7.2016,7.3195,6.6346,6.9781,2544360.71,17996451.86,61804,6.97705
1.59114E+12,2020-06-03,ETC/USDT,6.9783,7.0131,6.7876,6.9413,1247535.52,8626919.485,33636,6.90035
1.59123E+12,2020-06-04,ETC/USDT,6.9425,7.0417,6.7743,6.9152,1520356.78,10527289.66,42221,6.908
1.59132E+12,2020-06-05,ETC/USDT,6.9128,6.9681,6.7774,6.8436,1128745.49,7770289.853,33112,6.87275
1.5914E+12,2020-06-06,ETC/USDT,6.8394,6.9125,6.78,6.862,737185.65,5051722.632,20956,6.84625
1.59149E+12,2020-06-07,ETC/USDT,6.8615,6.8891,6.6166,6.8326,935207.74,6341203.054,28103,6.75285
1.59157E+12,2020-06-08,ETC/USDT,6.8336,6.9334,6.7323,6.9004,810045.22,5521645.957,23058,6.83285
1.59166E+12,2020-06-09,ETC/USDT,6.9005,6.9316,6.709,6.7826,674949.52,4590151.793,17077,6.8203
1.59175E+12,2020-06-10,ETC/USDT,6.7811,6.8345,6.7018,6.8084,682301.33,4623291.64,17363,6.76815
1.59183E+12,2020-06-11,ETC/USDT,6.8088,6.8329,6.0457,6.264,1539494.39,9953813.592,36278,6.4393
1.59192E+12,2020-06-12,ETC/USDT,6.2605,6.4978,6.2094,6.4048,982601.11,6282361.28,21038,6.3536
1.59201E+12,2020-06-13,ETC/USDT,6.4047,6.51,6.3334,6.4923,605631,3885582.563,14998,6.4217
1.59209E+12,2020-06-14,ETC/USDT,6.4937,6.4958,6.2421,6.3165,546649.46,3485255.078,14714,6.36895
1.59218E+12,2020-06-15,ETC/USDT,6.3165,6.3193,5.98,6.2414,1174833.24,7231195.655,25854,6.14965
1.59227E+12,2020-06-16,ETC/USDT,6.2414,6.3066,6.1703,6.2527,740100.18,4618287.041,17797,6.23845
1.59235E+12,2020-06-17,ETC/USDT,6.2538,6.3752,6.1405,6.2823,961451.45,6024371.611,20934,6.25785
1.59244E+12,2020-06-18,ETC/USDT,6.2836,6.2921,6.0963,6.2085,699279.88,4338643.071,18328,6.1942
1.59252E+12,2020-06-19,ETC/USDT,6.2087,6.4213,6.1434,6.3406,1469088.19,9246056.597,34321,6.28235
1.59261E+12,2020-06-20,ETC/USDT,6.3368,6.3674,6.1572,6.2619,1009125.01,6322270.54,21113,6.2623
1.5927E+12,2020-06-21,ETC/USDT,6.2632,6.2783,6.1754,6.2125,478546.53,2981353.764,13895,6.22685
1.59278E+12,2020-06-22,ETC/USDT,6.2132,6.411,6.198,6.3745,856720.99,5421491.315,21062,6.3045
1.59287E+12,2020-06-23,ETC/USDT,6.3743,6.4368,6.2857,6.3735,723522.84,4607545.127,18141,6.36125
1.59296E+12,2020-06-24,ETC/USDT,6.3716,6.5203,6.1305,6.2228,1270530.83,8031432.228,26866,6.3254
1.59304E+12,2020-06-25,ETC/USDT,6.2203,6.2545,6.0398,6.1534,619337.72,3813268.92,15718,6.14715
1.59313E+12,2020-06-26,ETC/USDT,6.1541,6.1703,6.0006,6.044,864324.74,5249160.898,20739,6.08545
1.59322E+12,2020-06-27,ETC/USDT,6.0445,6.0586,5.2912,5.589,2050691.22,11710040.67,38195,5.6749
1.5933E+12,2020-06-28,ETC/USDT,5.588,5.8355,5.5579,5.7511,800176.42,4570293.048,17621,5.6967
1.59339E+12,2020-06-29,ETC/USDT,5.7511,5.8936,5.7262,5.8253,1466128.5,8501817.828,27684,5.8099
1.59348E+12,2020-06-30,ETC/USDT,5.8293,5.8521,5.6762,5.7284,599062.53,3443916.504,15394,5.76415
1.59356E+12,2020-07-01,ETC/USDT,5.7278,5.7833,5.6176,5.7095,939549.23,5364063.7,20805,5.70045
1.59365E+12,2020-07-02,ETC/USDT,5.7104,5.7861,5.5371,5.6408,1340494.35,7599308.005,27102,5.6616
1.59373E+12,2020-07-03,ETC/USDT,5.6398,5.7311,5.5977,5.6483,886411.6,5025975.891,17947,5.6644
1.59382E+12,2020-07-04,ETC/USDT,5.6477,5.75,5.6323,5.6977,685080.04,3894932.684,16776,5.69115
1.59391E+12,2020-07-05,ETC/USDT,5.6994,5.7179,5.512,5.6498,928926.17,5232072.712,21523,5.61495
1.59399E+12,2020-07-06,ETC/USDT,5.6498,6.1938,5.6457,6.1047,1766297.26,10405474.67,37906,5.91975
1.59408E+12,2020-07-07,ETC/USDT,6.1041,6.3198,5.9686,6.2192,1859464.06,11431690.96,43688,6.1442
1.59417E+12,2020-07-08,ETC/USDT,6.2199,6.6464,6.122,6.634,2506010.43,16082904.67,56710,6.3842
1.59425E+12,2020-07-09,ETC/USDT,6.6359,6.7987,6.3855,6.6456,2873559.61,18942799.14,64531,6.5921
1.59434E+12,2020-07-10,ETC/USDT,6.6477,6.6498,6.2481,6.3821,1616323.34,10362880.72,41602,6.44895
1.59443E+12,2020-07-11,ETC/USDT,6.3851,6.5832,6.3745,6.5017,1049169.15,6799448.729,28983,6.47885
1.59451E+12,2020-07-12,ETC/USDT,6.5063,6.5691,6.35,6.4603,1042671.42,6727116.191,26430,6.45955
1.5946E+12,2020-07-13,ETC/USDT,6.4619,6.5633,6.1713,6.3015,1360318.72,8722596.706,36550,6.3673
1.59468E+12,2020-07-14,ETC/USDT,6.301,6.3313,6.17,6.3273,913200.65,5707267.628,24501,6.25065
1.59477E+12,2020-07-15,ETC/USDT,6.328,6.3606,6.1808,6.2219,844699.27,5283243.823,20336,6.2707
1.59486E+12,2020-07-16,ETC/USDT,6.2224,6.268,5.88,6.0317,1622357.97,9842652.045,36797,6.074
1.59494E+12,2020-07-17,ETC/USDT,6.0313,6.1129,5.9667,6.029,986142.76,5958865.221,23198,6.0398
1.59503E+12,2020-07-18,ETC/USDT,6.029,6.1181,5.9403,6.0518,822250.43,4961434.352,21310,6.0292
1.59512E+12,2020-07-19,ETC/USDT,6.0506,6.1224,5.9485,6.1004,820704.5,4954073.468,23586,6.03545
1.5952E+12,2020-07-20,ETC/USDT,6.1017,6.1919,5.99,6.0289,1093665.89,6671772.998,31347,6.09095
1.59529E+12,2020-07-21,ETC/USDT,6.0295,6.1932,6.0144,6.1908,1100039.4,6734486.882,27933,6.1038
1.59538E+12,2020-07-22,ETC/USDT,6.1899,6.3926,6.0925,6.3569,1140641.3,7092000.423,24544,6.24255
1.59546E+12,2020-07-23,ETC/USDT,6.358,6.4915,6.3003,6.4402,1325834.35,8461347.754,26711,6.3959
1.59555E+12,2020-07-24,ETC/USDT,6.4419,6.4446,6.2069,6.2548,1102864.61,6952302.177,22802,6.32575
1.59564E+12,2020-07-25,ETC/USDT,6.2516,6.7267,6.2387,6.7067,2114916.51,13780490.94,37635,6.4827
1.59572E+12,2020-07-26,ETC/USDT,6.7064,6.8868,6.3821,6.6358,2454857.58,16426868.79,43627,6.63445
1.59581E+12,2020-07-27,ETC/USDT,6.634,7.3555,6.6306,7.1167,5151771,36379248.25,89014,6.99305
1.59589E+12,2020-07-28,ETC/USDT,7.118,7.398,6.8173,7.2125,3818696.83,27348847.07,78576,7.10765
1.59598E+12,2020-07-29,ETC/USDT,7.2126,7.5457,7.1403,7.2644,3254905.33,23933903.7,64308,7.343
1.59607E+12,2020-07-30,ETC/USDT,7.2637,7.4756,7,7.3422,2377357.37,17096963.07,45788,7.2378
1.59615E+12,2020-07-31,ETC/USDT,7.3461,7.5762,7.252,7.3976,2236198.03,16522302.33,49416,7.4141
1.59624E+12,2020-08-01,ETC/USDT,7.398,7.9571,7.312,7.833,4005372.89,30673403.8,79993,7.63455
1.59633E+12,2020-08-02,ETC/USDT,7.8349,8.3089,6.5,7.1939,5174928.7,37819989.43,109042,7.40445
1.59641E+12,2020-08-03,ETC/USDT,7.1936,7.3696,7.0444,7.1658,2523387.11,18281336.36,50054,7.207
1.5965E+12,2020-08-04,ETC/USDT,7.168,7.2769,7,7.139,1791801.34,12822187.34,36384,7.13845
1.59659E+12,2020-08-05,ETC/USDT,7.1372,7.36,7.0532,7.2239,1703583.05,12274058.41,36342,7.2066
1.59667E+12,2020-08-06,ETC/USDT,7.2264,7.2503,6.996,7.0997,2215282.57,15776929.37,42178,7.12315
