unix,ds,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount,Value
1.54362E+12,2018-12-01,EOS/USDT,2.8904,3.0244,2.824,2.9404,3522585.91,10328372.45,26853,2.9242
1.54371E+12,2018-12-02,EOS/USDT,2.9379,3.015,2.8051,2.8605,2898250.12,8499238.924,22441,2.91005
1.5438E+12,2018-12-03,EOS/USDT,2.8628,2.89,2.5252,2.5891,4760372.19,12899866.59,33426,2.7076
1.54388E+12,2018-12-04,EOS/USDT,2.5912,2.6279,2.3046,2.4503,8192843.31,20470507.69,52705,2.46625
1.54397E+12,2018-12-05,EOS/USDT,2.4493,2.4671,2.1628,2.1895,9720596.1,22323789.39,60923,2.31495
1.54405E+12,2018-12-06,EOS/USDT,2.1901,2.2679,1.8328,1.8438,13003062.31,27488359.09,73094,2.05035
1.54414E+12,2018-12-07,EOS/USDT,1.8446,1.8674,1.528,1.7271,18209498.54,30850525.97,100488,1.6977
1.54423E+12,2018-12-08,EOS/USDT,1.7286,1.9448,1.6124,1.8056,16478683.08,29141182.97,83363,1.7786
1.54431E+12,2018-12-09,EOS/USDT,1.8058,2.1108,1.7216,1.9855,15413728.28,29501539.96,74902,1.9162
1.5444E+12,2018-12-10,EOS/USDT,1.9869,2.058,1.86,1.9049,14127134.18,27577819.24,70798,1.959
1.54449E+12,2018-12-11,EOS/USDT,1.9048,1.928,1.757,1.8318,10371380.29,19126093.37,53895,1.8425
1.54457E+12,2018-12-12,EOS/USDT,1.8322,2.0289,1.8019,1.9546,9502179.87,18292786.53,54691,1.9154
1.54466E+12,2018-12-13,EOS/USDT,1.9547,1.9785,1.8133,1.8437,11501688.07,21895071.5,63456,1.8959
1.54475E+12,2018-12-14,EOS/USDT,1.8441,1.8836,1.7548,1.818,9779462.5,17813962.83,59468,1.8192
1.54483E+12,2018-12-15,EOS/USDT,1.8179,1.92,1.783,1.8855,7634933.36,14046182.34,48756,1.8515
1.54492E+12,2018-12-16,EOS/USDT,1.8839,1.9738,1.8733,1.904,6663434.89,12824424.5,44353,1.92355
1.545E+12,2018-12-17,EOS/USDT,1.9036,2.4757,1.8973,2.3684,21778917.43,49210728.89,112799,2.1865
1.54509E+12,2018-12-18,EOS/USDT,2.3696,2.6907,2.34,2.6149,26093249.64,64926503.36,150614,2.51535
1.54518E+12,2018-12-19,EOS/USDT,2.615,2.782,2.42,2.4323,21118523.12,54747426.46,147641,2.601
1.54526E+12,2018-12-20,EOS/USDT,2.4318,2.7561,2.403,2.6902,17133735.41,44565230.28,126048,2.57955
1.54535E+12,2018-12-21,EOS/USDT,2.6903,2.8,2.4724,2.5815,14400752.61,37790295.3,108712,2.6362
1.54544E+12,2018-12-22,EOS/USDT,2.5815,2.6165,2.453,2.5755,7684214.28,19490072.84,62504,2.53475
1.54552E+12,2018-12-23,EOS/USDT,2.5771,2.9346,2.5534,2.7774,12875451.75,35412871.82,94461,2.744
1.54561E+12,2018-12-24,EOS/USDT,2.7775,3.0842,2.7201,2.7407,16866538.25,48911473.72,128315,2.90215
1.5457E+12,2018-12-25,EOS/USDT,2.7407,2.7445,2.3725,2.48,15615090.51,39328594.09,126174,2.5585
1.54578E+12,2018-12-26,EOS/USDT,2.4816,2.65,2.4346,2.5469,12207452.34,30829026.47,98174,2.5423
1.54587E+12,2018-12-27,EOS/USDT,2.545,2.574,2.2284,2.2656,11267218.09,27165086.84,84422,2.4012
1.54596E+12,2018-12-28,EOS/USDT,2.264,2.6591,2.2137,2.5994,12546394.72,30899565.8,98036,2.4364
1.54604E+12,2018-12-29,EOS/USDT,2.6011,2.739,2.5157,2.5523,10073149.95,26317665.65,81562,2.62735
1.54613E+12,2018-12-30,EOS/USDT,2.549,2.6588,2.4501,2.6349,8126555.41,20928310.49,67143,2.55445
1.54621E+12,2018-12-31,EOS/USDT,2.634,2.6431,2.4323,2.5326,8487571.3,21585273.4,63827,2.5377
1.5463E+12,2019-01-01,EOS/USDT,2.5345,2.6345,2.4883,2.6184,5425315.83,13891991.53,48386,2.5614
1.54639E+12,2019-01-02,EOS/USDT,2.6185,2.8617,2.5877,2.8197,7781422,21132405.06,57189,2.7247
1.54647E+12,2019-01-03,EOS/USDT,2.8186,2.822,2.5709,2.6379,7580722.29,20406347.96,53115,2.69645
1.54656E+12,2019-01-04,EOS/USDT,2.6361,2.7271,2.544,2.6744,6887348.65,18236052.11,53384,2.63555
1.54665E+12,2019-01-05,EOS/USDT,2.6749,2.7435,2.6301,2.651,5805230.91,15597384.93,46291,2.6868
1.54673E+12,2019-01-06,EOS/USDT,2.6518,2.8626,2.6,2.8092,7195395.47,19658779.63,53932,2.7313
1.54682E+12,2019-01-07,EOS/USDT,2.8104,2.8304,2.6821,2.7336,7269951.57,20005625.34,51830,2.75625
1.54691E+12,2019-01-08,EOS/USDT,2.733,2.8349,2.6809,2.743,6452192.39,17749513.89,46867,2.7579
1.54699E+12,2019-01-09,EOS/USDT,2.7433,2.92,2.7261,2.86,7243272.67,20364302.65,49060,2.82305
1.54708E+12,2019-01-10,EOS/USDT,2.8624,2.9474,2.274,2.3691,15447628.34,39728682.33,113392,2.6107
1.54716E+12,2019-01-11,EOS/USDT,2.3692,2.4156,2.2801,2.3627,9119469.05,21541816.11,77535,2.34785
1.54725E+12,2019-01-12,EOS/USDT,2.3614,2.4178,2.3411,2.3768,5316331.97,12643102.26,46702,2.37945
1.54734E+12,2019-01-13,EOS/USDT,2.3766,2.3899,2.1762,2.2092,5711834.54,12986952.74,47435,2.28305
1.54742E+12,2019-01-14,EOS/USDT,2.2095,2.4599,2.2044,2.4256,6215914.95,14508716.28,53218,2.33215
1.54751E+12,2019-01-15,EOS/USDT,2.426,2.4461,2.3037,2.3496,6820880.36,16192453.11,58379,2.3749
1.5476E+12,2019-01-16,EOS/USDT,2.3475,2.436,2.3313,2.4027,5392886.82,12895394.68,46265,2.38365
1.54768E+12,2019-01-17,EOS/USDT,2.4035,2.496,2.3262,2.4718,6827598.9,16552756.18,50896,2.4111
1.54777E+12,2019-01-18,EOS/USDT,2.4729,2.4848,2.38,2.4296,5451727.31,13250161.25,43387,2.4324
1.54786E+12,2019-01-19,EOS/USDT,2.4296,2.5085,2.409,2.444,4397104.68,10800188.49,33727,2.45875
1.54794E+12,2019-01-20,EOS/USDT,2.4432,2.47,2.2484,2.3266,6718840.17,15775132.98,56216,2.3592
1.54803E+12,2019-01-21,EOS/USDT,2.3279,2.4027,2.293,2.3223,4909058.38,11461152.23,41047,2.34785
1.54812E+12,2019-01-22,EOS/USDT,2.3226,2.4948,2.2583,2.4276,6368766.91,15149818.38,53025,2.37655
1.5482E+12,2019-01-23,EOS/USDT,2.4275,2.462,2.3851,2.4188,4011152.74,9712145.247,33275,2.42355
1.54829E+12,2019-01-24,EOS/USDT,2.4188,2.4509,2.3849,2.4343,3593242.18,8688368.192,30932,2.4179
1.54837E+12,2019-01-25,EOS/USDT,2.4344,2.4626,2.4016,2.4285,3241042.53,7866474.932,27603,2.4321
1.54846E+12,2019-01-26,EOS/USDT,2.4278,2.4745,2.3976,2.4065,2440321.11,5938860.137,19198,2.43605
1.54855E+12,2019-01-27,EOS/USDT,2.4048,2.438,2.31,2.3522,3924251.55,9345452.883,27345,2.374
1.54863E+12,2019-01-28,EOS/USDT,2.3521,2.3614,2.15,2.2267,5569150.25,12553820.46,42684,2.2557
1.54872E+12,2019-01-29,EOS/USDT,2.2266,2.307,2.1791,2.2561,3335084.4,7460371.787,29224,2.24305
1.54881E+12,2019-01-30,EOS/USDT,2.2562,2.3453,2.2233,2.3262,2763718.76,6325850.995,24952,2.2843
1.54889E+12,2019-01-31,EOS/USDT,2.3267,2.3641,2.2769,2.3089,3052511.71,7054702.295,26439,2.3205
1.54898E+12,2019-02-01,EOS/USDT,2.31,2.3547,2.276,2.3263,2678028.02,6202437.344,25998,2.31535
1.54907E+12,2019-02-02,EOS/USDT,2.3258,2.455,2.314,2.4389,2561851.19,6045446.736,19174,2.3845
1.54915E+12,2019-02-03,EOS/USDT,2.4389,2.4469,2.34,2.3707,3256628.04,7776236.442,24307,2.39345
1.54924E+12,2019-02-04,EOS/USDT,2.3701,2.4359,2.3454,2.3973,2674770.63,6403373.064,20090,2.39065
1.54932E+12,2019-02-05,EOS/USDT,2.3973,2.4071,2.3501,2.3914,1969941.32,4703153.493,17506,2.3786
1.54941E+12,2019-02-06,EOS/USDT,2.3914,2.3979,2.3,2.3426,3428527,7977656.096,30328,2.34895
