unix,ds,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount,Value
1.57723E+12,2019-12-25,XLM/USDT,0.04502,0.04505,0.0435,0.04436,21168703.8,939504.0983,5880,0.044275
1.57732E+12,2019-12-26,XLM/USDT,0.04435,0.04568,0.04406,0.04468,27319904,1226305.128,7039,0.04487
1.5774E+12,2019-12-27,XLM/USDT,0.04469,0.04609,0.0441,0.04584,30672143.5,1388765.604,8363,0.045095
1.57749E+12,2019-12-28,XLM/USDT,0.04585,0.0465,0.04567,0.04589,28801347.7,1327890.258,6963,0.046085
1.57758E+12,2019-12-29,XLM/USDT,0.04583,0.04672,0.04573,0.04619,21648526.7,998357.2703,6175,0.046225
1.57766E+12,2019-12-30,XLM/USDT,0.04618,0.04683,0.0453,0.04552,23540628.3,1085519.849,7123,0.046065
1.57775E+12,2019-12-31,XLM/USDT,0.04553,0.04574,0.04467,0.04495,19209554.3,868435.883,5771,0.045205
1.57784E+12,2020-01-01,XLM/USDT,0.04495,0.04552,0.04482,0.04529,8262760.7,373354.3159,3951,0.04517
1.57792E+12,2020-01-02,XLM/USDT,0.04527,0.04544,0.04348,0.04361,17557760,780544.2166,7224,0.04446
1.57801E+12,2020-01-03,XLM/USDT,0.04358,0.04568,0.04324,0.04566,22163529.8,996549.7176,9047,0.04446
1.5781E+12,2020-01-04,XLM/USDT,0.04564,0.04585,0.04513,0.04565,17395833.2,791280.6239,5321,0.04549
1.57818E+12,2020-01-05,XLM/USDT,0.04566,0.04625,0.04519,0.04544,28897563.5,1322093.311,7663,0.04572
1.57827E+12,2020-01-06,XLM/USDT,0.04544,0.05049,0.04534,0.05046,81613453,3943196.303,19852,0.047915
1.57836E+12,2020-01-07,XLM/USDT,0.0505,0.05103,0.04739,0.04839,98972377.9,4854494.936,22253,0.04921
1.57844E+12,2020-01-08,XLM/USDT,0.04839,0.0494,0.04672,0.04768,72238834.3,3485461.353,16990,0.04806
1.57853E+12,2020-01-09,XLM/USDT,0.04768,0.04818,0.0469,0.04718,39959442.9,1904597.293,10171,0.04754
1.57861E+12,2020-01-10,XLM/USDT,0.04715,0.04818,0.04553,0.04802,97552455.6,4577180.209,20366,0.046855
1.5787E+12,2020-01-11,XLM/USDT,0.04805,0.04956,0.04736,0.04825,59275273.3,2868501.541,16912,0.04846
1.57879E+12,2020-01-12,XLM/USDT,0.04825,0.04932,0.048,0.04905,38323399.4,1869093.08,10607,0.04866
1.57887E+12,2020-01-13,XLM/USDT,0.04904,0.04906,0.0476,0.04813,29523962.9,1421042.513,8018,0.04833
1.57896E+12,2020-01-14,XLM/USDT,0.04812,0.05532,0.0481,0.0528,180352283.5,9226006.016,42311,0.05171
1.57905E+12,2020-01-15,XLM/USDT,0.0528,0.05674,0.05155,0.0548,174397966.4,9471130.753,44779,0.054145
1.57913E+12,2020-01-16,XLM/USDT,0.05477,0.05511,0.05206,0.05367,101786007.7,5422916.805,26944,0.053585
1.57922E+12,2020-01-17,XLM/USDT,0.05371,0.06457,0.05306,0.06072,271547690.6,16116817.48,67530,0.058815
1.57931E+12,2020-01-18,XLM/USDT,0.06078,0.06626,0.05746,0.06149,362498402.2,22585144.16,89700,0.06186
1.57939E+12,2020-01-19,XLM/USDT,0.06148,0.0664,0.05839,0.06004,304826836.7,18776365.14,66909,0.062395
1.57948E+12,2020-01-20,XLM/USDT,0.06003,0.06516,0.0592,0.06274,322412843.5,20355243.55,90974,0.06218
1.57956E+12,2020-01-21,XLM/USDT,0.06274,0.06478,0.06148,0.06279,148201811.6,9376350.533,61319,0.06313
1.57965E+12,2020-01-22,XLM/USDT,0.06282,0.06395,0.06084,0.06136,101641735.1,6346207.028,48969,0.062395
1.57974E+12,2020-01-23,XLM/USDT,0.06137,0.06143,0.05688,0.05833,142997027.9,8462946.875,61673,0.059155
1.57982E+12,2020-01-24,XLM/USDT,0.05834,0.05842,0.05489,0.05714,139940948,7956139.037,49835,0.056655
1.57991E+12,2020-01-25,XLM/USDT,0.05717,0.05729,0.05559,0.05604,65949474,3714087.416,29200,0.05644
1.58E+12,2020-01-26,XLM/USDT,0.05602,0.05863,0.05576,0.05841,79799362.8,4588450.883,41742,0.057195
1.58008E+12,2020-01-27,XLM/USDT,0.05841,0.06097,0.05763,0.05971,117719995,6992691.627,47488,0.0593
